
static timeTest optimisation level: 0
START: real: 0.0003500000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003520000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003540000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003560000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003580000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003610000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003630000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003650000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003670000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003700000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003710000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003720000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003740000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003750000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003770000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003780000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003800000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003810000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003820000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003840000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003850000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003870000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003880000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003900000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003910000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003930000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003940000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003950000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003970000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003980000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004000000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004010000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004030000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004040000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004050000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004070000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004080000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004100000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004110000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004130000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004140000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004160000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004170000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004180000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004200000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004210000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004230000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004240000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004260000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004270000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004280000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004300000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004320000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004330000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004340000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004360000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004490000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004540000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004560000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004580000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004600000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004630000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004650000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004670000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004690000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004710000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004720000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004740000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004750000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004770000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004780000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004800000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004810000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004830000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004840000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004860000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004870000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004880000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004900000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004910000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004930000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004940000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004950000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004970000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0004980000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005000000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005010000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005030000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005040000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005060000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005070000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005090000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005100000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005110000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005130000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005140000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005160000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005170000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005190000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005210000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005220000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005230000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005250000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005260000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005280000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005290000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005300000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005320000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005330000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005350000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005360000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005380000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005390000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005400000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005420000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005430000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005450000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005460000, user: 0.0000000000, sys: 0.0000000000
